orig_index,text,label,label_name,n_turns,total_chars,true_label_id,pred_label_id,true_label,pred_label,is_wrong,error_pair,top1_label,top1_prob,top2_label,top2_prob,margin,prob_협박,prob_갈취,prob_직장내괴롭힘,prob_기타괴롭힘,prob_일반대화
806,선생님 제 남편 좀 살려주세요. [턴] 죄송합니다만 남편 분은 가망이 없습니다. [턴] 선생님선생님 밖에 없어요! 흐흐흑 [턴] 이러시면 곤란합니다. 남편 분의 의식은 돌아오는건 저도 장담 못합니다. 죄송합니다. [턴] 당신이 수술하면 산다고 했잖아! 당신 때문이야 [턴] 여기서 이러시면 곤란합니다. [턴] 당신이 내 남편 죽였어! 책임져!! [턴] 남편 분은 이미 사고로 의식이 없는 상태로 오셨고 제가 생사를 장담못한다고 말씀드렸습니다. [턴] 언제 그랬어? 분명 올 때 내 손을 잡고 있었다고! 당신이 죽였지? [턴] 진정하세요 [턴] 살인자! 살인자!!,3,기타 괴롭힘 대화,11.0,264.0,3,0,기타괴롭힘,협박,True,기타괴롭힘 → 협박,협박,0.9920758441780368,갈취,0.003620160312893861,0.988455683865143,0.9920758441780368,0.003620160312893861,0.0010412527548262676,0.002547100899339393,0.0007156418549036585
911,야 너 내심부름꾼 안할거야? [턴] 내가왜.해야해 [턴] 너같은 찐따랑 놀아주는데 안해? [턴] 그냥 찐따할게 [턴] 하 이것봐라? 그냥 찐따가 아니라 디지게 맞는 찐따인데 괜찮겠어 [턴] .내가 뭘 그렇게 잘못한줄 모르겠어 [턴] 이유가 그렇게 듣고 싶냐? [턴] 응.궁금해 [턴] 왜냐면 너한테만 말해줄게 생긴게 마음에 안들어서그래 [턴] .진짜 너무하다 너 [턴] 그니까 골라 그냥 좋게 심부름할지 졸업할때까지 디지게 맞는 찐따할지?,0,협박 대화,11.0,195.0,0,3,협박,기타괴롭힘,True,협박 → 기타괴롭힘,기타괴롭힘,0.9913562262696944,직장내괴롭힘,0.0029641014408652256,0.9883921248288292,0.002698845074089276,0.0016757510136711604,0.0029641014408652256,0.9913562262696944,0.0013050762016798003
347,이봐요 아가씨 이렇게 해도 되는거야? [턴] 손님 죄송합니다 [턴] 내가 여기 단골이야 사장님 어디있어? [턴] 손님 이건 본사 지침이라 어쩔 수가 없어요 [턴] 됐고 당장 불러와 사장 [턴] 연락해드리겠습니다 [턴] 여기 단골인데 이거 하나 못해줘? 진짜 어이가 없어서. [턴] 죄송합니다 [턴] 내가 말만 하면 이 가게 다신 못 열어. [턴] 죄송합니다,0,협박 대화,10.0,154.0,0,3,협박,기타괴롭힘,True,협박 → 기타괴롭힘,기타괴롭힘,0.9909902106336318,직장내괴롭힘,0.0033444371254427443,0.987645773508189,0.0023808430699037973,0.0023808430699037973,0.0033444371254427443,0.9909902106336318,0.0009036661011178803
947,저기 아가씨 이쁘게 생겼네 [턴] 아 네. 감사합니다 [턴] 내가 요 몇일 유심히 봤거든 [턴] 네!? [턴] 그냥 이뻐서 그러는데 나랑 잠깐 쉬었다 가자 [턴] 싫어요! 경찰에 신고할거에요 [턴] 해봐 근데 너 00아파트 00호에 살지? 가족이랑 같이 [턴] 아니 그걸 어떻게. [턴] 가족들 계속 보고 싶으면 잔말 말고 따라와 [턴] .네,0,협박 대화,10.0,146.0,0,3,협박,기타괴롭힘,True,협박 → 기타괴롭힘,기타괴롭힘,0.99057294003287,갈취,0.0030084003822665483,0.9875645396506034,0.0027606633720372257,0.0030084003822665483,0.00284829623442365,0.99057294003287,0.0008096999784025225
749,우리 워크샾 간다는 말이 있던데 맞아? [턴] 설마. 안 돼. 싫다구. [턴] 내말이 너무 싫은데 부장님이 추진하는거 같더라 [턴] 업무 하는 것 보단 나으려나? [턴] 아니 일하는게 천배 났지 이게 뭔일이야 [턴] 그런가? 또 술 마시겠지? [턴] 그럼 너무 싫어 같이 술마시는거 싫어 [턴] 그러게. 다른 데서 자고 오는 것도 싫고 그냥 업무 하지. 귀찮네. [턴] 가면 또 우리가 다 뒷처리 해야할꺼 아냐 안가고 싶다 [턴] 뒷 정리 우리가 다 하고 그러겠지.,4,일반 대화,10.0,215.0,4,2,일반대화,직장내괴롭힘,True,일반대화 → 직장내괴롭힘,직장내괴롭힘,0.9911160518442723,기타괴롭힘,0.003560586873094145,0.9875554649711782,0.001107335449169295,0.001797382847543869,0.9911160518442723,0.003560586873094145,0.0024186429859204507
372,동생아? 너 내가 어제 설거지 해놓으라고 했지? [턴] 형 나 어제오늘 바쁘다고 말했잖아. [턴] 어쭈 그래서 안하고 버틴다고? [턴] 이번만 형이 해주라 [턴] 설거지 안해두면 너 지난번에 성적표 숨긴거 엄마께 말한다. [턴] 아. 그건 좀 아니지 [턴] 그리고 저번에 오티간다고 거짓말하고 클럽에서 밤샌것도 다 말할거야. [턴] 형 진짜 이러가야? [턴] 싫으면 해놓던가. [턴] 아.하면 되잖아. 설거지,0,협박 대화,10.0,183.0,0,3,협박,기타괴롭힘,True,협박 → 기타괴롭힘,기타괴롭힘,0.9907975439869381,직장내괴롭힘,0.003517973870076673,0.9872795701168614,0.0024178657239704816,0.0024178657239704816,0.003517973870076673,0.9907975439869381,0.0008487506950443536
227,너 이렇게 나와서 아침마다 탕비실 청소하는 이유가 뭐야? [턴] 응? 깨끗하면 좋잖아 [턴] 너때문에 우리는? [턴] 그게 무슨말이야? [턴] 니가 아침마다 일 없는 백수마냥 나와서 청소하니까 윗분들이 좋게보시더라? [턴] 아. 아니 집도 가깝고 그래서 [턴] 일부러 그러니? 이쁨 받고 싶어서? 가지가지한다 [턴] 그런건 아니야 정말 [턴] 아니긴 집이 좀 어렵다더니 아주 그냥 이회사에 뼈까지 묻을 생각인가봐? [턴] 오해야. 불편하게 했다면 미안해,2,직장 내 괴롭힘 대화,10.0,208.0,2,3,직장내괴롭힘,기타괴롭힘,True,직장내괴롭힘 → 기타괴롭힘,기타괴롭힘,0.9900674225837478,협박,0.003845839037742064,0.9862215835460058,0.003845839037742064,0.0017266973615930007,0.003200791248604654,0.9900674225837478,0.001159249768312554
660,친구야 이따 시험때 답좀 슬쩍 보여주라. [턴] 그건 어려울것 같은데. [턴] 와.친구사이에 이러기냐? [턴] 미안. 걸리면 0점이잖아. [턴] 그러면 너 지난번에 과제 내꺼 베껴서 제출한거 내가 조교님께 말한다? [턴] 아니 그건 지난일인데 왜 이제와서 말해. [턴] 지금이라도 말하면 너 점수깍일걸? 생각 잘해라. [턴] 하. 그래도 시험컨닝은 좀. [턴] 그래 그럼 나는 지금 조교님한테 간다. [턴] 알았어 보여주면 되잖아.,0,협박 대화,10.0,196.0,0,3,협박,기타괴롭힘,True,협박 → 기타괴롭힘,기타괴롭힘,0.9897233323532795,직장내괴롭힘,0.004305638495731635,0.9854176938575478,0.002199104961280091,0.0031012350699314815,0.004305638495731635,0.9897233323532795,0.000670689119777429
900,이게 뭐야 ? [턴] 아 나 요즘 취미로 하는 뜨개질이야. [턴] 갑자기 뜨개질? [턴] 응 하다보니 마음도 좀 차분해지고 온전히 내 시간이라는 생각 때문에 괜찮더라구! [턴] 아 되게 의외다. 이런 거 [턴] 완벽하게 만드는 것보다 그냥 내가 여기에 시간을 쓰고 집중한다는 게 좋더라구. [턴] 그럼 이거 다 풀어봐도 돼? [턴] 어? [턴] 다시 만드는 것도 의미있는 거잖아 [턴] 아니 그래도 이건 좀 아니지 않아? 야 하지마! [턴] 다 너를 위해서 그런거야 어차피 많이 만들지도 않았는데 다시 예쁘게 해봐,3,기타 괴롭힘 대화,11.0,237.0,3,4,기타괴롭힘,일반대화,True,기타괴롭힘 → 일반대화,일반대화,0.9900041119752889,기타괴롭힘,0.005318262204123096,0.9846858497711658,0.0009685274987837576,0.0007141473942884356,0.002994950927515681,0.005318262204123096,0.9900041119752889
737,민주야 그거 입술에 바른거뭐야? [턴] 아 이번에 로드샵에서 신상인데 세일할때 삿어 [턴] 근데 너는 쿨톤인데 좀 안어울리는거같은데? [턴] 아그래? [턴] 응 내거는 조금 남긴했는데 이게 더 잘어울리겠다 내거랑 바꿔줄게 [턴] 어?? 내건 새거고 한번밖에 안발랐는데 너껀 텅텅 비었는데.?? [턴] 아니 친구가 생각코 더 어울리는 색깔 골라주는데성의를 무시하는거야? [턴] 아니. 그게 아니라 너무 차이가 많이 나서 [턴] 야 그거 너랑 안어울린다니까? 존나 말귀못알아먹네 [턴] 왜왜그래. [턴] 이거랑 바꾸라고 이게 더 낫다니까? 진짜 찐따가 말귀도 못알아쳐먹고 진짜 [턴] 아알았어.,1,갈취 대화,12.0,278.0,1,3,갈취,기타괴롭힘,True,갈취 → 기타괴롭힘,기타괴롭힘,0.9892299761862249,갈취,0.0046350435211576085,0.9845949326650673,0.002569732579057871,0.0046350435211576085,0.002589887241469998,0.9892299761862249,0.0009753604720896845
37,야 너 이번에 신입사원 봤냐? 진짜 못생김 [턴] 너도 봤냐? 나도 어제 보고 깜놀 [턴] 아니 못생겼으면 꾸미기라도 하지 얼굴도 쌩얼 [턴] 그니깐. 우리 평균 외모 떨어질듯 [턴] 너 쟤랑 다음주에 같은 프로젝트 들어가지 않냐? [턴] 아 그러니까 진짜 할 맛 안나네 [턴] 야 너 진짜 불쌍 난 최대한 안 엮일라고 [턴] 아 진짜 다음주에 같이 어떻게 하냐 [턴] 옆에 가면 냄새 나는지 알려주삼 [턴] 아 진짜 벌써 짜증나네,2,직장 내 괴롭힘 대화,10.0,196.0,2,3,직장내괴롭힘,기타괴롭힘,True,직장내괴롭힘 → 기타괴롭힘,기타괴롭힘,0.9896738548482117,직장내괴롭힘,0.005528272884508435,0.9841455819637033,0.002065764651807499,0.0014087290984360736,0.005528272884508435,0.9896738548482117,0.0013233785170362982
127,오 신발샀냐? [턴] 응. 전에 신던게 다 헤져서.부모님이 사주셨어. [턴] 니네 집 꽤 사나보다? 이런 신발도 잘 사주시고? [턴] 응.? 그런건 아닌데.그래도 신발은 오래 신는 거라고. [턴] 잠깐 벗어봐. 나 한 번만 신어보자. [턴] 어.돌려줄거지.? [턴] 아 장난치냐 내가 그럼 니가 신 던거 가져갈까봐 그래? 빨리 내놔보라고. [턴] 잠깐만이야. [턴] 와 이거 딱 내 신발이네. 야 나 이거 몇일만 빌려주라 내가 신으니까 니가 신을 때보다 더 간지나잖아. 고맙다 잘 신을게 [턴] 돌려줘.! 정말 안돼.저번에도 너가 빌려갔다가.다 헤져서 산 거란 말이야.,3,기타 괴롭힘 대화,10.0,273.0,3,1,기타괴롭힘,갈취,True,기타괴롭힘 → 갈취,갈취,0.9886614452102985,기타괴롭힘,0.005067838790729236,0.9835936064195693,0.0038403776292100246,0.9886614452102985,0.0019085655762350858,0.005067838790729236,0.0005217727935271971
